Number,Total,HDBDwellings_TotalHDB1,HDBDwellings_1_And2_RoomFlats2,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomAndExecutiveFlats,Condo_MiniumsAndOtherApartments,LandedProperties,Others
Total,3902690,3162360,159790,604580,1320290,1074740,453000,251080,36250
Ang Mo Kio- Total,174770,145110,12650,63750,46090,22620,11920,16410,1330
Ang Mo Kio Town Centre,5020,3250,na,460,730,2060,1730,na,40
Cheng San,29770,29610,840,14740,8690,5350,na,na,160
Chong Boon,27900,27670,1840,13500,8810,3520,na,na,230
Kebun Bahru,23910,22460,1920,11750,6460,2320,na,1170,290
Sembawang Hills,6890,na,na,na,na,na,160,6660,70
Shangri-La,18510,18150,3280,7790,5300,1780,na,300,60
Tagore,8350,na,na,na,na,na,2630,5530,180
Townsville,23770,23690,1610,7400,10540,4150,na,na,80
Yio Chu Kang,30,na,na,na,na,na,na,na,na
Yio Chu Kang East,4080,na,na,na,na,na,1690,2300,100
Yio Chu Kang North,na,na,na,na,na,na,na,na,na
Yio Chu Kang West,26550,20290,3160,8120,5560,3450,5720,440,90
Bedok- Total,289750,193060,9640,62060,72370,48990,48690,45160,2840
Bayshore,7480,na,na,na,na,na,6870,460,140
Bedok North,85930,76470,3750,34660,26630,11430,4220,4670,580
Bedok Reservoir,25400,19050,na,3220,9120,6720,6280,na,60
Bedok South,51190,33320,1740,9710,14460,7410,5650,11770,450
Frankel,33570,150,150,na,na,na,13640,19130,650
Kaki Bukit,40820,39610,430,6730,16560,15890,240,710,260
Kembangan,38440,24460,3570,7750,5600,7540,4970,8420,590
Siglap,6930,na,na,na,na,na,6830,na,110
Bishan- Total,90700,65130,1170,5430,31480,27050,14210,10770,580
Bishan East,28820,27360,300,2070,11940,13050,1290,na,170
Marymount,31540,24470,na,na,15080,9390,4060,2890,110
Upper Thomson,30340,13300,870,3360,4460,4610,8870,7880,300
Boon Lay- Total,30,na,na,na,na,na,na,na,na
Liu Fang,10,na,na,na,na,na,na,na,na
SaMulun,10,na,na,na,na,na,na,na,na
Shipyard,na,na,na,na,na,na,na,na,na
Tukang,10,na,na,na,na,na,na,na,na
Bukit Batok- Total,139270,108240,1290,28030,50180,28740,24570,5620,840
BrickWorks,na,na,na,na,na,na,na,na,na
Bukit Batok Central,26060,24580,1290,4160,11520,7610,1430,na,60
Bukit Batok East,14570,14430,na,6510,5590,2340,na,na,140
Bukit Batok South,13940,11970,na,na,6260,5710,1260,680,40
Bukit Batok West,15190,15140,na,5580,6090,3470,na,na,60
Gombak,9820,6870,na,na,4060,2800,250,2620,90
Guilin,13130,8450,na,3670,2410,2370,4640,na,40
Hillview,18220,na,na,na,na,na,15730,2320,160
Hong Kah North,28340,26810,na,8110,14250,4450,1270,na,260
Bukit Merah- Total,155840,144550,25790,40210,46780,31780,9100,520,1670
Alexandra Hill,15650,15140,4750,2850,4170,3380,na,na,510
Alexandra North,1000,na,na,na,na,na,990,na,10
Bukit Ho Swee,16290,15680,4190,6070,3460,1970,520,na,100
Bukit Merah,1190,1150,na,160,10,980,na,na,40
City Terminals,40,na,na,na,na,na,na,na,na
Depot Road,5200,4000,na,na,1760,2240,1190,na,na
Everton Park,9010,8310,620,1940,2240,3520,410,190,100
Henderson Hill,12870,12670,4750,4090,2880,960,160,na,40
Kampong Tiong Bahru,10460,10270,2330,4630,2050,1270,na,na,190
Maritime Square,2560,na,na,na,na,na,2300,100,160
Redhill,12210,11230,2200,2450,3200,3390,860,na,120
Singapore General Hospital,10,na,na,na,na,na,na,na,na
Telok Blangah Drive,16000,15610,1540,4740,5510,3820,300,30,60
Telok Blangah Rise,13820,12820,960,4630,5980,1250,720,190,90
Telok Blangah Way,10690,10610,2270,4990,1750,1590,na,na,80
Tiong Bahru,12190,11800,320,2870,6100,2510,280,10,110
Tiong Bahru Station,16670,15280,1880,790,7680,4920,1370,na,20
Bukit Panjang- Total,139030,120000,2250,9860,57590,50300,15610,3220,200
Bangkit,23800,22440,na,3140,13400,5900,1360,na,10
Dairy Farm,5390,na,na,na,na,na,3360,2020,20
Fajar,26770,26770,450,1480,13380,11470,na,na,na
Jelebu,33470,26760,na,4250,10930,11590,6040,650,20
Nature Reserve,3870,na,na,na,na,na,3280,550,30
Saujana,25530,23960,210,520,10530,12710,1570,na,na
Senja,20200,20070,1600,480,9360,8630,na,na,120
Bukit Timah- Total,74470,7550,na,1080,2820,3650,33920,32040,950
Anak Bukit,21990,5640,na,50,2260,3330,8430,7650,270
Coronation Road,6170,na,na,na,na,na,1930,3960,280
Farrer Court,4680,1910,na,1030,560,320,1800,910,70
Hillcrest,8810,na,na,na,na,na,3570,5080,160
Holland Road,10280,na,na,na,na,na,6060,4170,50
Leedon Park,6260,na,na,na,na,na,2280,3960,10
Swiss Club,5550,na,na,na,na,na,2080,3360,110
Ulu Pandan,10730,10,na,na,na,na,7770,2950,10
Central Water Catchment- Total,10,na,na,na,na,na,na,na,na
Central Water Catchment,10,na,na,na,na,na,na,na,na
Changi- Total,2530,460,na,450,na,10,50,410,1620
Changi Airport,na,na,na,na,na,na,na,na,na
Changi Point,790,460,na,450,na,10,na,170,170
Changi West,1740,na,na,na,na,na,50,240,1450
Changi Bay- Total,na,na,na,na,na,na,na,na,na
Changi Bay,na,na,na,na,na,na,na,na,na
Choa Chu Kang- Total,174330,155870,3840,5300,74970,71760,15500,2550,420
Choa Chu Kang Central,21400,15440,na,na,8910,6540,5960,na,na
Choa Chu Kang North,34380,29560,1660,570,9740,17600,2520,2300,na
Keat Hong,15660,13190,na,na,8080,5110,2080,250,140
Peng Siang,32130,31910,350,470,19440,11650,na,na,220
Teck Whye,27040,26860,1830,4260,11810,8950,140,na,40
Yew Tee,43710,38900,na,na,16990,21910,4800,na,10
Clementi- Total,91630,70420,2740,28970,26530,12180,14030,5800,1390
Clementi Central,13490,11030,na,4580,5300,1150,1210,960,290
Clementi North,28730,28330,1210,12720,9990,4420,na,na,390
Clementi West,16470,13890,na,8300,4330,1250,2250,230,100
